p_L (%), p_R (%), x (m), y (m), heading (°)
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,-1.2390305802982209,-15.654688224778674,-95.64781084889408
,,-1.2396446656290372,-15.652733315060047,-95.44741016092395
,,-1.2378667713849136,-15.658150688232388,-95.0605728055855
,,-1.238557347418651,-15.66403417676351,-94.33026334773298
,,-1.2397442498557745,-15.676961253995183,-93.36974165165364
,,-1.2408469710019614,-15.691216854408216,-92.05439936622358
,,-1.241537714281436,-15.699900089053903,-90.7677137479707
,,-1.2395213919941404,-15.690236688023766,-89.50791707233334
0,29.82005141388175,-1.2397787852675637,-15.690288143785953,-88.32450252904316
0,29.82005141388175,-1.2401371497582407,-15.687078130167619,-86.75338892316445
0,29.82005141388175,-1.2409407853369725,-15.679025866731633,-85.17385339993479
0,29.82005141388175,-1.2427553076832911,-15.662910737136587,-83.46714651874919
0,29.82005141388175,-1.2401225901441881,-15.68400596651945,-81.88873548165122
0,29.82005141388175,-1.2415648122297347,-15.674812817190105,-79.93911659675591
0,29.82005141388175,-1.242516783177995,-15.669714257407735,-79.05550153733037
0,29.82005141388175,-1.242516783177995,-15.669714257407735,-79.05550153733037
0,29.82005141388175,-1.242516783177995,-15.669714257407735,-79.05550153733037
0,29.82005141388175,-1.242516783177995,-15.669714257407735,-79.05550153733037
0,29.82005141388175,-1.243927738141961,-15.662751725682494,-78.14470429923352
0,29.82005141388175,-1.2463799565499694,-15.651820521668904,-76.32857206175369
0,29.82005141388175,-1.2510763334789914,-15.633331699378685,-74.5263350161441
0,29.82005141388175,-1.253223208356432,-15.661060095718616,-63.740182954462206
0,29.82005141388175,-1.2408490555645224,-15.696512371710861,-68.0299836347375
0,29.82005141388175,-1.2408490555645224,-15.696512371710861,-68.0299836347375
0,29.82005141388175,-1.2408490555645224,-15.696512371710861,-68.0299836347375
0,29.82005141388175,-1.2408490555645224,-15.696512371710861,-68.0299836347375
0,29.82005141388175,-1.2430078001079334,-15.686142814563969,-68.01356459573628
0,29.82005141388175,-1.2480720334551358,-15.6620431635999,-59.45567594381702
0,29.82005141388175,-1.2480720334551358,-15.6620431635999,-59.45567594381702
0,29.82005141388175,-1.2480720334551358,-15.6620431635999,-59.45567594381702
0,29.82005141388175,-1.2480720334551358,-15.6620431635999,-59.45567594381702
0,29.82005141388175,-1.2485923205611773,-15.65915340448563,-60.90193156419079
0,29.82005141388175,-1.2652702550226922,-15.636573284696453,-48.968356704941414
0,29.82005141388175,-1.2652702550226922,-15.636573284696453,-48.968356704941414
0,29.82005141388175,-1.2652702550226922,-15.636573284696453,-48.968356704941414
